"docUuid","visitors","desktop_search_R","desktop_search_V","desktop_search_S3"
"0a0d12a0-9c78-11e8-acfb-eb1702e95e35","5343",6,8,6
"b9a82542-971e-11e8-815e-fc60c095174f","5342",1,2,1
"aa8477c6-a224-11e8-b201-41d95f45639c","5335",18,24,21
"c43b5286-a146-11e8-bf2c-8f4a631f500f","5268",17,60,50
"138ad2d4-9559-11e8-993b-2078d824af27","5167",30,39,32
"f0ccfd3c-013b-11e8-ac5d-a08db8bcf5f7","5154",0,0,0
"0a0d12a0-9c78-11e8-acfb-eb1702e95e35","5007",2,2,2
"3d66192a-9490-11e8-9907-2078d824af27","4992",1,1,1
"36b1feec-9ae3-11e8-8c2d-1e0e02e95e35","4952",18,32,26
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","4938",30,40,31
"4b3cddae-9a2b-11e8-a40c-1e0e02e95e35","4916",54,69,56
"5465e68c-9968-11e8-b9c7-852902e95e35","4842",37,46,39
"fe3217ec-9a0f-11e8-b345-107bb12b5a53","4822",8,18,13
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","4792",33,57,37
"c429cfac-9593-11e8-863b-fc60c095174f","4786",51,105,57
"c83591a6-a05d-11e8-af80-8f4a631f500f","4782",41,50,41
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","4756",19,24,22
"9812c736-a211-11e8-9004-8f4a631f500f","4750",13,28,15
"e129338e-963f-11e8-a542-2078d824af27","4645",10,11,10
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","4625",36,43,39
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","4611",30,43,30
"5465e68c-9968-11e8-b9c7-852902e95e35","4600",43,47,45
"456b68e4-9ca8-11e8-884c-eb1702e95e35","4579",9,11,10
"b6f434f0-9631-11e8-8a60-fc60c095174f","4523",7,9,7
"fe061f3a-06a2-11e8-9dee-328f588b2a65","4401",0,0,0
"0814e520-9d3d-11e8-89aa-a25db12b5a53","4344",81,170,78
"ab6ccd1a-5fed-11e8-b53b-be327c3166de","4329",5,5,6
"21b31f3a-a12d-11e8-be1d-41d95f45639c","4323",115,129,124
"cf8d0e1c-9639-11e8-936f-2078d824af27","4280",3,4,4
"e9383386-995f-11e8-a4ed-852902e95e35","4276",7,15,11
"bce1283c-a1fd-11e8-897e-41d95f45639c","4265",22,45,27
"10e87e8a-94a2-11e8-ba78-2078d824af27","4224",9,9,9
"42321806-94b7-11e8-9e55-fc60c095174f","4223",42,52,43
"3446b5f6-956d-11e8-a183-fc60c095174f","4101",75,90,85
"ea50192c-9708-11e8-82a3-2078d824af27","4046",45,56,50
"0a0d12a0-9c78-11e8-acfb-eb1702e95e35","3981",7,8,8
"907ae110-96eb-11e8-96a7-fc60c095174f","3976",6,10,9
"6d99ea58-a125-11e8-85de-8f4a631f500f","3787",18,22,18
"3d66192a-9490-11e8-9907-2078d824af27","3749",17,20,18
"cf8d0e1c-9639-11e8-936f-2078d824af27","3724",5,9,6
"e129338e-963f-11e8-a542-2078d824af27","3704",9,12,11
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","3696",29,35,30
