"docUuid","visitors","MAX(shareTotal)","visits_social","social_R","social_V","social_S3"
"96de7c24-00eb-11e8-8743-a08db8bcf5f7","12829",17,"1","1","1","1"
"421f65a6-93f6-11e8-925d-fc60c095174f","12784",768,"78","24","35","27"
"adcf3b3c-9ef0-11e8-a762-a25db12b5a53","12761",1,"1","0","0","0"
"a1ef9464-9a46-11e8-8b2a-1e0e02e95e35","12746",0,"1","1","1","1"
"d89a2080-994f-11e8-b4bc-2078d824af27","12644",7,"14","6","8","6"
"07b77414-9f98-11e8-b572-eb1702e95e35","12405",23,"2","0","0","0"
"e129338e-963f-11e8-a542-2078d824af27","12403",18,"22","9","10","10"
"1c3a3da4-a06a-11e8-815c-41d95f45639c","12313",20,"8","1","4","4"
"aa8477c6-a224-11e8-b201-41d95f45639c","12297",7,"1","0","0","0"
"a1ef9464-9a46-11e8-8b2a-1e0e02e95e35","12276",6,"7","1","1","1"
"36b1feec-9ae3-11e8-8c2d-1e0e02e95e35","12269",6,"10","2","4","3"
"69f972a4-a168-11e8-9077-41d95f45639c","12116",165,"12","1","1","1"
"8453807a-93f0-11e8-b468-fc60c095174f","12088",26,"8","1","2","1"
"a5dc0066-a154-11e8-84d8-8f4a631f500f","12031",26,"6","4","4","4"
"ea50192c-9708-11e8-82a3-2078d824af27","12005",3,"4","0","1","0"
"f462cb8c-957b-11e8-b8cb-fc60c095174f","11985",2,"3","0","0","0"
"163999e2-9af0-11e8-87aa-1e0e02e95e35","11944",27,"186","107","184","111"
"4bbe6494-a536-11e8-adae-8f4a631f500f","11792",3,"19","5","5","5"
"b9a82542-971e-11e8-815e-fc60c095174f","11731",8,"10","2","4","2"
"510a1d42-9c87-11e8-9dc5-a25db12b5a53","11699",187,"10","4","4","4"
"7b2172f8-745d-11e8-a55f-ab7403c1ce92","11547",60,"2","0","0","0"
"456b68e4-9ca8-11e8-884c-eb1702e95e35","11516",3,"0","0","0","0"
"ea50192c-9708-11e8-82a3-2078d824af27","11212",5,"2","2","2","2"
"feb5a38e-a47b-11e8-b5e0-41d95f45639c","11055",1,"13","2","3","3"
"88906ed2-a53e-11e8-aed1-8f4a631f500f","10808",1,"14","2","3","3"
"c97f5c78-9977-11e8-a79d-852902e95e35","10661",9,"4","0","2","0"
"1f0b2036-a22f-11e8-9d4d-8f4a631f500f","10628",10,"17","5","6","5"
"bce1283c-a1fd-11e8-897e-41d95f45639c","10536",12,"5","0","2","0"
"e9383386-995f-11e8-a4ed-852902e95e35","10528",2,"0","0","0","0"
"fa5e724a-9baa-11e8-856a-eb1702e95e35","10471",0,"6","2","2","2"
"69f972a4-a168-11e8-9077-41d95f45639c","10396",181,"14","3","5","3"
"42321806-94b7-11e8-9e55-fc60c095174f","10305",10,"6","1","2","1"
"5ee74e7c-9ef2-11e8-9047-eb1702e95e35","10143",73,"70","27","31","27"
"108aa054-96fe-11e8-bcbd-2078d824af27","10132",6,"0","0","0","0"
"335b20e6-9f90-11e8-80d1-eb1702e95e35","9756",53,"9","3","7","3"
"b9a82542-971e-11e8-815e-fc60c095174f","9598",4,"2","0","0","0"
"3bfd7946-9014-11e8-833b-2078d824af27","9567",78,"6","2","2","2"
"ea50192c-9708-11e8-82a3-2078d824af27","9557",5,"1","0","0","0"
"ae8e992c-a08b-11e8-9082-41d95f45639c","9528",32,"0","0","0","0"
"7b2172f8-745d-11e8-a55f-ab7403c1ce92","9439",60,"2","1","1","1"
"6c6da284-9f98-11e8-bbcf-eb1702e95e35","9408",81,"11","1","4","1"
"ae8e992c-a08b-11e8-9082-41d95f45639c","9396",30,"1","1","1","1"
"0a0d12a0-9c78-11e8-acfb-eb1702e95e35","9352",2,"2","1","1","1"
"456b68e4-9ca8-11e8-884c-eb1702e95e35","9297",1,"0","0","0","0"
"a5956c8a-9ee0-11e8-ad05-a25db12b5a53","9248",9,"1","1","1","1"
"d89a2080-994f-11e8-b4bc-2078d824af27","9222",7,"8","2","3","2"
"3924a578-9659-11e8-ae1c-fc60c095174f","9038",11,"6","2","4","2"
"1f70904e-9b02-11e8-bc21-f017b12b5a53","8988",1,"3","1","1","1"
"85c70544-9a3f-11e8-8dd7-f017b12b5a53","8801",44,"3","1","1","1"
"21b31f3a-a12d-11e8-be1d-41d95f45639c","8745",14,"2","1","1","1"
"94bc8c7e-9c8b-11e8-a40e-a25db12b5a53","8602",78,"2","2","2","2"
"a834ff8a-93d9-11e8-ae17-2078d824af27","8374",15,"0","0","0","0"
"9f71df54-a215-11e8-92a5-8f4a631f500f","8325",12,"18","3","7","3"
"3bfd7946-9014-11e8-833b-2078d824af27","8297",62,"9","2","3","1"
"1f0b2036-a22f-11e8-9d4d-8f4a631f500f","8207",10,"15","3","3","3"
"1c419614-9fb9-11e8-b9f9-eb1702e95e35","8199",38,"1","1","1","1"
"1bca607c-6b24-11e8-b44b-8ed2e26c6167","8189",1514,"10","2","2","2"
"ae8e992c-a08b-11e8-9082-41d95f45639c","8170",36,"3","0","0","0"
"3bfd7946-9014-11e8-833b-2078d824af27","8163",92,"0","0","0","0"
"fa5e724a-9baa-11e8-856a-eb1702e95e35","8100",3,"1","0","0","0"
"3924a578-9659-11e8-ae1c-fc60c095174f","7969",11,"3","0","0","0"
"5465e68c-9968-11e8-b9c7-852902e95e35","7756",27,"2","2","2","2"
"f7b56108-8e75-11e8-b34d-8869a7fcb7dc","7755",34,"1","0","0","0"
"aa8477c6-a224-11e8-b201-41d95f45639c","7746",3,"1","0","0","0"
"82386dd2-9ba2-11e8-86e9-a25db12b5a53","7676",18,"4","0","0","0"
"1c3a3da4-a06a-11e8-815c-41d95f45639c","7675",33,"6","1","2","2"
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","7665",51,"3","0","0","0"
"3bfd7946-9014-11e8-833b-2078d824af27","7642",90,"7","2","2","1"
"c43b5286-a146-11e8-bf2c-8f4a631f500f","7563",9,"5","1","1","1"
"3d66192a-9490-11e8-9907-2078d824af27","7482",96,"4","4","4","4"
"c83591a6-a05d-11e8-af80-8f4a631f500f","7469",34,"4","1","1","1"
"45b330ee-9a18-11e8-b397-f017b12b5a53","7432",11,"5","3","3","3"
"1f70904e-9b02-11e8-bc21-f017b12b5a53","7429",3,"1","0","0","0"
"421f65a6-93f6-11e8-925d-fc60c095174f","7380",860,"37","8","15","10"
"3446b5f6-956d-11e8-a183-fc60c095174f","7224",86,"1","0","1","0"
"2638cfae-9c74-11e8-96ad-a25db12b5a53","7179",11,"0","0","0","0"
"d138d0c6-9bf6-11e8-8f8e-eb1702e95e35","7128",6496,"182","54","73","56"
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","7038",122,"10","0","6","2"
"3924a578-9659-11e8-ae1c-fc60c095174f","6890",11,"5","0","1","0"
"9f71df54-a215-11e8-92a5-8f4a631f500f","6761",6,"22","5","5","5"
"f462cb8c-957b-11e8-b8cb-fc60c095174f","6732",6,"1","1","1","1"
"ab6ccd1a-5fed-11e8-b53b-be327c3166de","6598",70,"5","0","0","0"
"7dedba16-9bd4-11e8-b6f7-a25db12b5a53","6554",50,"32","8","14","9"
"bb79e6b0-9fb3-11e8-bef0-eb1702e95e35","6486",15,"1","1","1","1"
"9f71df54-a215-11e8-92a5-8f4a631f500f","6436",2,"19","4","4","4"
"21b31f3a-a12d-11e8-be1d-41d95f45639c","6409",14,"2","0","0","0"
"9a432d1c-9fa9-11e8-b1b7-a25db12b5a53","6408",51,"0","0","0","0"
"10e87e8a-94a2-11e8-ba78-2078d824af27","6365",48,"3","1","2","2"
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","6325",40,"1","0","0","0"
"b9a82542-971e-11e8-815e-fc60c095174f","6280",1,"4","0","0","0"
"adcf3b3c-9ef0-11e8-a762-a25db12b5a53","6259",2,"0","0","0","0"
"b9a82542-971e-11e8-815e-fc60c095174f","6247",5,"2","1","1","1"
"639f36c2-00ec-11e8-86c6-d6fd8c1371f3","6247",19,"0","0","0","0"
"c83591a6-a05d-11e8-af80-8f4a631f500f","6229",38,"2","1","1","1"
"6d99ea58-a125-11e8-85de-8f4a631f500f","6197",43,"3","3","3","3"
"72319330-9ed3-11e8-8dc8-eb1702e95e35","6180",25,"2","1","1","1"
"aa8477c6-a224-11e8-b201-41d95f45639c","6065",5,"0","0","0","0"
"1f0b2036-a22f-11e8-9d4d-8f4a631f500f","6055",6,"9","3","3","3"
"3446b5f6-956d-11e8-a183-fc60c095174f","5883",77,"1","1","1","1"
"8f90dcb2-79fb-11e8-b362-4ceaba6bc217","5830",91,"1","1","1","1"
"142ff8ac-a55f-11e8-8c59-8f4a631f500f","5776",0,"0","0","0","0"
"6d99ea58-a125-11e8-85de-8f4a631f500f","5696",45,"4","1","3","1"
"c429cfac-9593-11e8-863b-fc60c095174f","5660",14,"1","0","0","0"
"2104c2e2-9eca-11e8-ba53-eb1702e95e35","5626",6,"2","1","2","1"
"f0342652-96f5-11e8-83ad-2078d824af27","5612",16,"11","1","9","1"
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","5593",131,"5","3","3","3"
"fd0296d2-93ff-11e8-a43c-fc60c095174f","5574",49,"12","4","4","4"
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","5525",3,"1","0","0","0"
"1a789cb2-9b07-11e8-b29c-f017b12b5a53","5520",126,"11","5","5","5"
"9f71df54-a215-11e8-92a5-8f4a631f500f","5440",10,"10","1","4","2"
"108aa054-96fe-11e8-bcbd-2078d824af27","5404",6,"0","0","0","0"
"6586e2d8-a14f-11e8-afd8-8f4a631f500f","5397",3,"18","7","9","8"
"c429cfac-9593-11e8-863b-fc60c095174f","5372",18,"0","0","0","0"
"c43b5286-a146-11e8-bf2c-8f4a631f500f","5363",9,"3","0","1","1"
"891d4278-67d4-11e8-9a86-fb1b3249e00a","5359",71,"0","0","0","0"
"0a0d12a0-9c78-11e8-acfb-eb1702e95e35","5343",2,"0","0","0","0"
"b9a82542-971e-11e8-815e-fc60c095174f","5342",12,"6","2","2","2"
"aa8477c6-a224-11e8-b201-41d95f45639c","5335",2,"1","1","1","1"
"c43b5286-a146-11e8-bf2c-8f4a631f500f","5268",9,"1","0","0","0"
"138ad2d4-9559-11e8-993b-2078d824af27","5167",8,"2","1","1","1"
"0a0d12a0-9c78-11e8-acfb-eb1702e95e35","5007",2,"1","0","0","0"
"36b1feec-9ae3-11e8-8c2d-1e0e02e95e35","4952",6,"6","2","2","2"
"6d7eb81e-9af9-11e8-88d9-f017b12b5a53","4938",53,"3","2","2","2"
